id,commit,days
1,true,0
2,false,32
3,true,302
4,true,279
5,false,109
6,false,1
7,true,0
8,true,0
10,true,0
11,true,85
12,true,0
13,true,19
14,true,0
15,true,0
16,false,0
17,false,0
18,false,0
19,true,0
20,true,0
21,true,2
22,false,0
23,false,13
24,true,0
25,false,0
26,true,0
27,true,0
28,false,0
29,false,0
30,true,13
31,true,0
32,true,0
33,true,2
34,false,8
35,true,76
36,true,74
37,false,1
38,true,3
39,true,4
40,false,0
41,true,0
42,false,183
43,true,8
44,true,1
45,true,0
46,true,12
47,false,109
48,true,0
49,false,1
50,true,7
51,true,0
52,true,0
53,true,0
54,true,0
55,true,4
56,true,17
57,false,0
58,true,5
59,false,0
60,false,0
61,false,48
64,true,0
65,true,0
66,true,0
67,false,46
68,false,0
69,false,6
70,false,4
71,true,56
72,false,0
73,true,44
74,false,0
75,true,0
76,false,0
77,false,0
78,false,0
79,true,44
80,true,0
81,false,0
82,false,0
83,true,0
84,true,4
85,true,25
86,true,0
87,true,26
88,true,0
89,true,29
90,true,23
91,false,0
92,false,130
93,false,34
94,false,10
95,true,7
96,true,1
97,true,0
98,false,0
99,true,1
100,false,0
101,false,5
103,true,0
104,false,0
105,false,9
106,true,0
107,false,0
108,true,0
110,false,5
111,false,7
112,false,0
113,false,0
114,false,873
115,false,0
116,false,0
117,false,0
118,true,0
119,true,0
120,true,263
121,true,1
122,false,102
123,false,50
124,true,35
125,false,0
126,false,0
127,true,0
128,true,1
129,true,0
130,false,0
131,true,0
132,true,0
133,false,0
134,false,0
135,false,0
136,true,33
137,false,0
138,true,0
139,true,2
140,false,1
141,false,97
142,false,1
143,true,0
144,true,0
145,true,0
146,true,0
147,true,28
148,true,0
149,true,0
150,false,82
151,false,27
152,true,0
153,true,21
154,true,151
155,false,0
156,true,6
157,false,19
158,false,0
159,true,10
160,false,215
161,false,1
162,true,6
163,false,0
164,true,6
165,false,0
166,true,0
167,true,0
168,false,5
169,false,16
170,false,0
171,false,11
172,true,1
173,true,8
174,true,35
175,false,0
176,true,6
177,false,6
178,true,5
179,true,360
180,false,6
181,false,0
182,false,5
183,false,1008
184,false,4
185,true,12
186,false,3
187,false,0
188,false,5
189,true,0
190,true,63
191,false,0
192,false,2
193,false,115
194,true,80
195,false,0
196,false,0
197,false,0
198,false,6
199,false,0
200,false,0
201,false,0
202,false,0
203,false,0
204,false,0
205,false,0
206,false,0
207,false,0
208,false,0
209,false,0
210,false,74
211,false,50
212,false,0
213,false,0
214,false,0
215,true,952
216,false,0
217,false,3
218,true,11
220,true,320
221,true,1
222,false,0
223,false,19
224,false,2
225,true,0
226,true,0
227,false,0
228,false,7
229,false,0
230,false,1
231,true,69
232,true,0
233,false,592
235,false,0
236,true,0
237,true,0
238,true,15
239,false,2
240,true,7
241,true,3
242,false,0
243,true,0
244,true,109
245,true,549
246,false,66
247,false,0
248,false,0
249,false,3
250,true,0
251,true,0
252,true,7
253,false,0
254,false,0
255,false,0
256,true,0
257,true,0
258,false,0
259,false,6
260,false,0
261,false,0
262,false,0
263,false,0
264,false,0
265,true,1
266,true,0
267,true,73
268,true,0
269,true,37
270,false,12
271,false,513
272,false,0
273,false,0
274,true,0
275,false,2
276,true,3
277,true,0
278,true,9
279,false,0
280,true,2
281,false,0
282,false,0
283,false,0
284,false,0
285,false,0
286,true,1
287,true,9
288,true,1
289,true,0
290,false,0
291,false,49
292,true,200
293,true,65
294,false,1
295,false,48
296,false,61
297,false,8
298,false,0
299,false,0
300,false,0
301,false,0
